wu,wr,wd,wl,au,ar,ad,al,bu,br,bd,bl,dx,dy,direction
368,208,144,304,1,0,0,0,0,0,1,0,0,-112,0
352,208,160,304,1,0,0,0,0,0,1,0,0,-96,0
336,208,176,304,1,0,0,0,0,0,1,0,0,-80,0
320,208,192,304,1,0,0,0,0,0,1,0,0,-64,0
304,208,208,304,1,0,0,0,0,0,1,0,0,-48,0
288,208,224,304,1,0,0,0,0,0,1,0,0,-32,0
272,208,240,304,1,0,0,0,0,0,1,0,0,-16,0
288,240,224,272,0,0,1,0,1,0,0,0,0,32,2
304,240,208,272,0,0,1,0,1,0,0,0,0,16,2
416,144,96,368,0,1,0,0,1,0,0,0,-96,0,1
416,128,96,384,0,1,0,0,0,0,0,1,-80,0,1
416,112,96,400,0,1,0,0,0,0,0,1,-64,0,1
416,96,96,416,0,1,0,0,0,0,0,1,-48,0,1
416,80,96,432,0,1,0,0,0,0,0,1,-32,0,1
416,64,96,448,0,1,0,0,0,0,0,1,-16,0,1
96,368,416,144,0,0,0,1,0,0,1,0,16,0,3
240,240,272,272,0,1,0,0,1,0,0,0,-192,0,1
240,224,272,288,0,1,0,0,0,0,0,1,-176,0,1
240,208,272,304,0,1,0,0,0,0,0,1,-160,0,1
240,192,272,320,0,1,0,0,0,0,0,1,-144,0,1
240,176,272,336,0,1,0,0,0,0,0,1,-128,0,1
240,160,272,352,0,1,0,0,0,0,0,1,-112,0,1
240,144,272,368,0,1,0,0,0,0,0,1,-96,0,1
240,128,272,384,0,1,0,0,0,0,0,1,-80,0,1
240,112,272,400,0,1,0,0,0,0,0,1,-64,0,1
240,96,272,416,0,1,0,0,0,0,0,1,-48,0,1
240,80,272,432,0,1,0,0,0,0,0,1,-32,0,1
240,64,272,448,0,1,0,0,0,0,0,1,-16,0,1
464,272,48,240,0,0,0,1,1,0,0,0,208,0,3
464,288,48,224,0,0,0,1,0,1,0,0,192,0,3
464,304,48,208,0,0,0,1,0,1,0,0,176,0,3
464,320,48,192,0,0,0,1,0,1,0,0,160,0,3
464,336,48,176,0,0,0,1,0,1,0,0,144,0,3
464,352,48,160,0,0,0,1,0,1,0,0,128,0,3
464,368,48,144,0,0,0,1,0,1,0,0,112,0,3
464,384,48,128,0,0,0,1,0,1,0,0,96,0,3
464,400,48,112,0,0,0,1,0,1,0,0,80,0,3
464,416,48,96,0,0,0,1,0,1,0,0,64,0,3
464,432,48,80,0,0,0,1,0,1,0,0,48,0,3
464,448,48,64,0,0,0,1,0,1,0,0,32,0,3
464,464,48,48,0,0,0,1,0,1,0,0,16,0,3
176,192,336,320,1,0,0,0,0,0,1,0,0,-144,0
160,192,352,320,1,0,0,0,0,0,1,0,0,-128,0
144,192,368,320,1,0,0,0,0,0,1,0,0,-112,0
128,192,384,320,1,0,0,0,0,0,1,0,0,-96,0
112,192,400,320,1,0,0,0,0,0,1,0,0,-80,0
96,192,416,320,1,0,0,0,0,0,1,0,0,-64,0
80,192,432,320,1,0,0,0,0,0,1,0,0,-48,0
64,192,448,320,1,0,0,0,0,0,1,0,0,-32,0
48,192,464,320,1,0,0,0,0,0,1,0,0,-16,0
32,192,480,320,0,0,0,1,0,0,1,0,96,0,3
32,208,480,304,0,0,0,1,0,1,0,0,80,0,3
32,224,480,288,0,0,0,1,0,1,0,0,64,0,3
32,240,480,272,0,0,0,1,0,1,0,0,48,0,3
32,256,480,256,0,0,0,1,0,1,0,0,32,0,3
32,272,480,240,0,0,0,1,0,1,0,0,16,0,3
192,448,320,64,0,0,1,0,1,0,0,0,0,48,2
208,448,304,64,0,0,1,0,1,0,0,0,0,32,2
224,448,288,64,0,0,1,0,1,0,0,0,0,16,2
80,288,432,224,0,1,0,0,0,0,1,0,-176,0,1
80,272,432,240,0,1,0,0,0,0,0,1,-160,0,1
80,256,432,256,0,1,0,0,0,0,0,1,-144,0,1
80,240,432,272,0,1,0,0,0,0,0,1,-128,0,1
80,224,432,288,0,1,0,0,0,0,0,1,-112,0,1
80,208,432,304,0,1,0,0,0,0,0,1,-96,0,1
80,192,432,320,0,1,0,0,0,0,0,1,-80,0,1
80,176,432,336,0,1,0,0,0,0,0,1,-64,0,1
80,160,432,352,0,1,0,0,0,0,0,1,-48,0,1
80,144,432,368,0,1,0,0,0,0,0,1,-32,0,1
80,128,432,384,0,1,0,0,0,0,0,1,-16,0,1
112,80,400,432,0,0,1,0,1,0,0,0,0,176,2
128,80,384,432,0,0,1,0,1,0,0,0,0,160,2
144,80,368,432,0,0,1,0,1,0,0,0,0,144,2
160,80,352,432,0,0,1,0,1,0,0,0,0,128,2
176,80,336,432,0,0,1,0,1,0,0,0,0,112,2
192,80,320,432,0,0,1,0,1,0,0,0,0,96,2
208,80,304,432,0,0,1,0,1,0,0,0,0,80,2
224,80,288,432,0,0,1,0,1,0,0,0,0,64,2
240,80,272,432,0,0,1,0,1,0,0,0,0,48,2
256,80,256,432,0,0,1,0,1,0,0,0,0,32,2
272,80,240,432,0,0,1,0,1,0,0,0,0,16,2
192,176,320,336,0,0,0,1,0,0,1,0,32,0,3
192,192,320,320,0,0,0,1,0,1,0,0,16,0,3
272,288,240,224,0,0,0,1,1,0,0,0,176,0,3
272,304,240,208,0,0,0,1,0,1,0,0,160,0,3
272,320,240,192,0,0,0,1,0,1,0,0,144,0,3
272,336,240,176,0,0,0,1,0,1,0,0,128,0,3
272,352,240,160,0,0,0,1,0,1,0,0,112,0,3
272,368,240,144,0,0,0,1,0,1,0,0,96,0,3
272,384,240,128,0,0,0,1,0,1,0,0,80,0,3
272,400,240,112,0,0,0,1,0,1,0,0,64,0,3
272,416,240,96,0,0,0,1,0,1,0,0,48,0,3
272,432,240,80,0,0,0,1,0,1,0,0,32,0,3
272,448,240,64,0,0,0,1,0,1,0,0,16,0,3
336,400,176,112,0,1,0,0,1,0,0,0,-32,0,1
336,384,176,128,0,1,0,0,0,0,0,1,-16,0,1
400,416,112,96,0,0,0,1,1,0,0,0,16,0,3
304,336,208,176,1,0,0,0,0,0,1,0,0,-240,0
288,336,224,176,1,0,0,0,0,0,1,0,0,-224,0
272,336,240,176,1,0,0,0,0,0,1,0,0,-208,0
256,336,256,176,1,0,0,0,0,0,1,0,0,-192,0
240,336,272,176,1,0,0,0,0,0,1,0,0,-176,0
224,336,288,176,1,0,0,0,0,0,1,0,0,-160,0
208,336,304,176,1,0,0,0,0,0,1,0,0,-144,0
192,336,320,176,1,0,0,0,0,0,1,0,0,-128,0
176,336,336,176,1,0,0,0,0,0,1,0,0,-112,0
160,336,352,176,1,0,0,0,0,0,1,0,0,-96,0
144,336,368,176,1,0,0,0,0,0,1,0,0,-80,0
128,336,384,176,1,0,0,0,0,0,1,0,0,-64,0
112,336,400,176,1,0,0,0,0,0,1,0,0,-48,0
96,336,416,176,1,0,0,0,0,0,1,0,0,-32,0
80,336,432,176,1,0,0,0,0,0,1,0,0,-16,0
320,464,192,48,0,0,1,0,1,0,0,0,0,112,2
336,464,176,48,0,0,1,0,1,0,0,0,0,96,2
352,464,160,48,0,0,1,0,1,0,0,0,0,80,2
368,464,144,48,0,0,1,0,1,0,0,0,0,64,2
384,464,128,48,0,0,1,0,1,0,0,0,0,48,2
400,464,112,48,0,0,1,0,1,0,0,0,0,32,2
416,464,96,48,0,0,1,0,1,0,0,0,0,16,2
192,224,320,288,1,0,0,0,0,0,1,0,0,-144,0
176,224,336,288,1,0,0,0,0,0,1,0,0,-128,0
160,224,352,288,1,0,0,0,0,0,1,0,0,-112,0
144,224,368,288,1,0,0,0,0,0,1,0,0,-96,0
128,224,384,288,1,0,0,0,0,0,1,0,0,-80,0
112,224,400,288,1,0,0,0,0,0,1,0,0,-64,0
96,224,416,288,1,0,0,0,0,0,1,0,0,-48,0
80,224,432,288,1,0,0,0,0,0,1,0,0,-32,0
64,224,448,288,1,0,0,0,0,0,1,0,0,-16,0
208,384,304,128,0,0,1,0,1,0,0,0,0,288,2
224,384,288,128,0,0,1,0,1,0,0,0,0,272,2
240,384,272,128,0,0,1,0,1,0,0,0,0,256,2
256,384,256,128,0,0,1,0,1,0,0,0,0,240,2
272,384,240,128,0,0,1,0,1,0,0,0,0,224,2
288,384,224,128,0,0,1,0,1,0,0,0,0,208,2
304,384,208,128,0,0,1,0,1,0,0,0,0,192,2
320,384,192,128,0,0,1,0,1,0,0,0,0,176,2
336,384,176,128,0,0,1,0,1,0,0,0,0,160,2
352,384,160,128,0,0,1,0,1,0,0,0,0,144,2
368,384,144,128,0,0,1,0,1,0,0,0,0,128,2
384,384,128,128,0,0,1,0,1,0,0,0,0,112,2
400,384,112,128,0,0,1,0,1,0,0,0,0,96,2
416,384,96,128,0,0,1,0,1,0,0,0,0,80,2
432,384,80,128,0,0,1,0,1,0,0,0,0,64,2
448,384,64,128,0,0,1,0,1,0,0,0,0,48,2
464,384,48,128,0,0,1,0,1,0,0,0,0,32,2
480,384,32,128,0,0,1,0,1,0,0,0,0,16,2
480,400,32,112,1,0,0,0,0,0,1,0,0,-192,0
464,400,48,112,1,0,0,0,0,0,1,0,0,-176,0
448,400,64,112,1,0,0,0,0,0,1,0,0,-160,0
432,400,80,112,1,0,0,0,0,0,1,0,0,-144,0
416,400,96,112,1,0,0,0,0,0,1,0,0,-128,0
400,400,112,112,1,0,0,0,0,0,1,0,0,-112,0
384,400,128,112,1,0,0,0,0,0,1,0,0,-96,0
368,400,144,112,1,0,0,0,0,0,1,0,0,-80,0
352,400,160,112,1,0,0,0,0,0,1,0,0,-64,0
336,400,176,112,1,0,0,0,0,0,1,0,0,-48,0
320,400,192,112,1,0,0,0,0,0,1,0,0,-32,0
304,400,208,112,1,0,0,0,0,0,1,0,0,-16,0
192,304,320,208,0,1,0,0,0,0,1,0,-176,0,1
192,288,320,224,0,1,0,0,0,0,0,1,-160,0,1
192,272,320,240,0,1,0,0,0,0,0,1,-144,0,1
192,256,320,256,0,1,0,0,0,0,0,1,-128,0,1
192,240,320,272,0,1,0,0,0,0,0,1,-112,0,1
192,224,320,288,0,1,0,0,0,0,0,1,-96,0,1
192,208,320,304,0,1,0,0,0,0,0,1,-80,0,1
192,192,320,320,0,1,0,0,0,0,0,1,-64,0,1
192,176,320,336,0,1,0,0,0,0,0,1,-48,0,1
192,160,320,352,0,1,0,0,0,0,0,1,-32,0,1
192,144,320,368,0,1,0,0,0,0,0,1,-16,0,1
224,160,288,352,0,0,1,0,1,0,0,0,0,208,2
240,160,272,352,0,0,1,0,1,0,0,0,0,192,2
256,160,256,352,0,0,1,0,1,0,0,0,0,176,2
272,160,240,352,0,0,1,0,1,0,0,0,0,160,2
288,160,224,352,0,0,1,0,1,0,0,0,0,144,2
304,160,208,352,0,0,1,0,1,0,0,0,0,128,2
320,160,192,352,0,0,1,0,1,0,0,0,0,112,2
336,160,176,352,0,0,1,0,1,0,0,0,0,96,2
352,160,160,352,0,0,1,0,1,0,0,0,0,80,2
368,160,144,352,0,0,1,0,1,0,0,0,0,64,2
384,160,128,352,0,0,1,0,1,0,0,0,0,48,2
400,160,112,352,0,0,1,0,1,0,0,0,0,32,2
416,160,96,352,0,0,1,0,1,0,0,0,0,16,2
400,128,112,384,0,1,0,0,0,0,1,0,-96,0,1
400,112,112,400,0,1,0,0,0,0,0,1,-80,0,1
400,96,112,416,0,1,0,0,0,0,0,1,-64,0,1
400,80,112,432,0,1,0,0,0,0,0,1,-48,0,1
400,64,112,448,0,1,0,0,0,0,0,1,-32,0,1
400,48,112,464,0,1,0,0,0,0,0,1,-16,0,1
368,64,144,448,0,0,0,1,0,0,1,0,240,0,3
368,80,144,432,0,0,0,1,0,1,0,0,224,0,3
368,96,144,416,0,0,0,1,0,1,0,0,208,0,3
368,112,144,400,0,0,0,1,0,1,0,0,192,0,3
368,128,144,384,0,0,0,1,0,1,0,0,176,0,3
368,144,144,368,0,0,0,1,0,1,0,0,160,0,3
368,160,144,352,0,0,0,1,0,1,0,0,144,0,3
368,176,144,336,0,0,0,1,0,1,0,0,128,0,3
368,192,144,320,0,0,0,1,0,1,0,0,112,0,3
368,208,144,304,0,0,0,1,0,1,0,0,96,0,3
368,224,144,288,0,0,0,1,0,1,0,0,80,0,3
368,240,144,272,0,0,0,1,0,1,0,0,64,0,3
368,256,144,256,0,0,0,1,0,1,0,0,48,0,3
368,272,144,240,0,0,0,1,0,1,0,0,32,0,3
368,288,144,224,0,0,0,1,0,1,0,0,16,0,3
288,384,224,128,1,0,0,0,0,0,1,0,0,-144,0
272,384,240,128,1,0,0,0,0,0,1,0,0,-128,0
256,384,256,128,1,0,0,0,0,0,1,0,0,-112,0
240,384,272,128,1,0,0,0,0,0,1,0,0,-96,0
224,384,288,128,1,0,0,0,0,0,1,0,0,-80,0
208,384,304,128,1,0,0,0,0,0,1,0,0,-64,0
192,384,320,128,1,0,0,0,0,0,1,0,0,-48,0
176,384,336,128,1,0,0,0,0,0,1,0,0,-32,0
160,384,352,128,1,0,0,0,0,0,1,0,0,-16,0
240,288,272,224,0,1,0,0,1,0,0,0,-32,0,1
240,272,272,240,0,1,0,0,0,0,0,1,-16,0,1
80,416,432,96,1,0,0,0,0,0,1,0,0,-32,0
64,416,448,96,1,0,0,0,0,0,1,0,0,-16,0
64,432,448,80,0,0,1,0,1,0,0,0,0,240,2
80,432,432,80,0,0,1,0,1,0,0,0,0,224,2
96,432,416,80,0,0,1,0,1,0,0,0,0,208,2
112,432,400,80,0,0,1,0,1,0,0,0,0,192,2
128,432,384,80,0,0,1,0,1,0,0,0,0,176,2
144,432,368,80,0,0,1,0,1,0,0,0,0,160,2
160,432,352,80,0,0,1,0,1,0,0,0,0,144,2
176,432,336,80,0,0,1,0,1,0,0,0,0,128,2
192,432,320,80,0,0,1,0,1,0,0,0,0,112,2
208,432,304,80,0,0,1,0,1,0,0,0,0,96,2
224,432,288,80,0,0,1,0,1,0,0,0,0,80,2
240,432,272,80,0,0,1,0,1,0,0,0,0,64,2
256,432,256,80,0,0,1,0,1,0,0,0,0,48,2
272,432,240,80,0,0,1,0,1,0,0,0,0,32,2
288,432,224,80,0,0,1,0,1,0,0,0,0,16,2
176,304,336,208,0,1,0,0,0,0,1,0,-272,0,1
176,288,336,224,0,1,0,0,0,0,0,1,-256,0,1
176,272,336,240,0,1,0,0,0,0,0,1,-240,0,1
176,256,336,256,0,1,0,0,0,0,0,1,-224,0,1
176,240,336,272,0,1,0,0,0,0,0,1,-208,0,1
176,224,336,288,0,1,0,0,0,0,0,1,-192,0,1
176,208,336,304,0,1,0,0,0,0,0,1,-176,0,1
176,192,336,320,0,1,0,0,0,0,0,1,-160,0,1
176,176,336,336,0,1,0,0,0,0,0,1,-144,0,1
176,160,336,352,0,1,0,0,0,0,0,1,-128,0,1
176,144,336,368,0,1,0,0,0,0,0,1,-112,0,1
176,128,336,384,0,1,0,0,0,0,0,1,-96,0,1
176,112,336,400,0,1,0,0,0,0,0,1,-80,0,1
176,96,336,416,0,1,0,0,0,0,0,1,-64,0,1
176,80,336,432,0,1,0,0,0,0,0,1,-48,0,1
176,64,336,448,0,1,0,0,0,0,0,1,-32,0,1
176,48,336,464,0,1,0,0,0,0,0,1,-16,0,1
336,192,176,320,0,0,0,1,1,0,0,0,112,0,3
336,208,176,304,0,0,0,1,0,1,0,0,96,0,3
336,224,176,288,0,0,0,1,0,1,0,0,80,0,3
336,240,176,272,0,0,0,1,0,1,0,0,64,0,3
336,256,176,256,0,0,0,1,0,1,0,0,48,0,3
336,272,176,240,0,0,0,1,0,1,0,0,32,0,3
336,288,176,224,0,0,0,1,0,1,0,0,16,0,3
256,384,256,128,1,0,0,0,0,0,1,0,0,-48,0
240,384,272,128,1,0,0,0,0,0,1,0,0,-32,0
224,384,288,128,1,0,0,0,0,0,1,0,0,-16,0
224,400,288,112,0,0,1,0,1,0,0,0,0,96,2
240,400,272,112,0,0,1,0,1,0,0,0,0,80,2
256,400,256,112,0,0,1,0,1,0,0,0,0,64,2
272,400,240,112,0,0,1,0,1,0,0,0,0,48,2
288,400,224,112,0,0,1,0,1,0,0,0,0,32,2
304,400,208,112,0,0,1,0,1,0,0,0,0,16,2
64,144,448,368,0,1,0,0,0,0,1,0,-48,0,1
64,128,448,384,0,1,0,0,0,0,0,1,-32,0,1
64,112,448,400,0,1,0,0,0,0,0,1,-16,0,1
320,352,192,160,0,0,0,1,1,0,0,0,112,0,3
320,368,192,144,0,0,0,1,0,1,0,0,96,0,3
320,384,192,128,0,0,0,1,0,1,0,0,80,0,3
320,400,192,112,0,0,0,1,0,1,0,0,64,0,3
320,416,192,96,0,0,0,1,0,1,0,0,48,0,3
320,432,192,80,0,0,0,1,0,1,0,0,32,0,3
320,448,192,64,0,0,0,1,0,1,0,0,16,0,3
304,448,208,64,1,0,0,0,0,0,1,0,0,-272,0
288,448,224,64,1,0,0,0,0,0,1,0,0,-256,0
272,448,240,64,1,0,0,0,0,0,1,0,0,-240,0
256,448,256,64,1,0,0,0,0,0,1,0,0,-224,0
240,448,272,64,1,0,0,0,0,0,1,0,0,-208,0
224,448,288,64,1,0,0,0,0,0,1,0,0,-192,0
208,448,304,64,1,0,0,0,0,0,1,0,0,-176,0
192,448,320,64,1,0,0,0,0,0,1,0,0,-160,0
176,448,336,64,1,0,0,0,0,0,1,0,0,-144,0
160,448,352,64,1,0,0,0,0,0,1,0,0,-128,0
144,448,368,64,1,0,0,0,0,0,1,0,0,-112,0
128,448,384,64,1,0,0,0,0,0,1,0,0,-96,0
112,448,400,64,1,0,0,0,0,0,1,0,0,-80,0
96,448,416,64,1,0,0,0,0,0,1,0,0,-64,0
80,448,432,64,1,0,0,0,0,0,1,0,0,-48,0
64,448,448,64,1,0,0,0,0,0,1,0,0,-32,0
48,448,464,64,1,0,0,0,0,0,1,0,0,-16,0
128,352,384,160,0,1,0,0,1,0,0,0,-240,0,1
128,336,384,176,0,1,0,0,0,0,0,1,-224,0,1
128,320,384,192,0,1,0,0,0,0,0,1,-208,0,1
128,304,384,208,0,1,0,0,0,0,0,1,-192,0,1
128,288,384,224,0,1,0,0,0,0,0,1,-176,0,1
128,272,384,240,0,1,0,0,0,0,0,1,-160,0,1
128,256,384,256,0,1,0,0,0,0,0,1,-144,0,1
128,240,384,272,0,1,0,0,0,0,0,1,-128,0,1
128,224,384,288,0,1,0,0,0,0,0,1,-112,0,1
128,208,384,304,0,1,0,0,0,0,0,1,-96,0,1
128,192,384,320,0,1,0,0,0,0,0,1,-80,0,1
128,176,384,336,0,1,0,0,0,0,0,1,-64,0,1
128,160,384,352,0,1,0,0,0,0,0,1,-48,0,1
128,144,384,368,0,1,0,0,0,0,0,1,-32,0,1
128,128,384,384,0,1,0,0,0,0,0,1,-16,0,1
192,176,320,336,0,0,1,0,1,0,0,0,0,256,2
208,176,304,336,0,0,1,0,1,0,0,0,0,240,2
224,176,288,336,0,0,1,0,1,0,0,0,0,224,2
240,176,272,336,0,0,1,0,1,0,0,0,0,208,2
256,176,256,336,0,0,1,0,1,0,0,0,0,192,2
272,176,240,336,0,0,1,0,1,0,0,0,0,176,2
288,176,224,336,0,0,1,0,1,0,0,0,0,160,2
304,176,208,336,0,0,1,0,1,0,0,0,0,144,2
320,176,192,336,0,0,1,0,1,0,0,0,0,128,2
336,176,176,336,0,0,1,0,1,0,0,0,0,112,2
352,176,160,336,0,0,1,0,1,0,0,0,0,96,2
368,176,144,336,0,0,1,0,1,0,0,0,0,80,2
384,176,128,336,0,0,1,0,1,0,0,0,0,64,2
400,176,112,336,0,0,1,0,1,0,0,0,0,48,2
416,176,96,336,0,0,1,0,1,0,0,0,0,32,2
432,176,80,336,0,0,1,0,1,0,0,0,0,16,2
320,304,192,208,1,0,0,0,0,0,1,0,0,-208,0
304,304,208,208,1,0,0,0,0,0,1,0,0,-192,0
288,304,224,208,1,0,0,0,0,0,1,0,0,-176,0
272,304,240,208,1,0,0,0,0,0,1,0,0,-160,0
256,304,256,208,1,0,0,0,0,0,1,0,0,-144,0
240,304,272,208,1,0,0,0,0,0,1,0,0,-128,0
224,304,288,208,1,0,0,0,0,0,1,0,0,-112,0
208,304,304,208,1,0,0,0,0,0,1,0,0,-96,0
192,304,320,208,1,0,0,0,0,0,1,0,0,-80,0
176,304,336,208,1,0,0,0,0,0,1,0,0,-64,0
160,304,352,208,1,0,0,0,0,0,1,0,0,-48,0
144,304,368,208,1,0,0,0,0,0,1,0,0,-32,0
128,304,384,208,1,0,0,0,0,0,1,0,0,-16,0
64,352,448,160,1,0,0,0,0,0,1,0,0,-16,0
64,368,448,144,0,0,1,0,1,0,0,0,0,144,2
80,368,432,144,0,0,1,0,1,0,0,0,0,128,2
96,368,416,144,0,0,1,0,1,0,0,0,0,112,2
112,368,400,144,0,0,1,0,1,0,0,0,0,96,2
128,368,384,144,0,0,1,0,1,0,0,0,0,80,2
144,368,368,144,0,0,1,0,1,0,0,0,0,64,2
160,368,352,144,0,0,1,0,1,0,0,0,0,48,2
176,368,336,144,0,0,1,0,1,0,0,0,0,32,2
192,368,320,144,0,0,1,0,1,0,0,0,0,16,2
112,272,400,240,0,1,0,0,0,0,1,0,-32,0,1
112,256,400,256,0,1,0,0,0,0,0,1,-16,0,1
320,448,192,64,0,1,0,0,0,0,1,0,-320,0,1
320,432,192,80,0,1,0,0,0,0,0,1,-304,0,1
320,416,192,96,0,1,0,0,0,0,0,1,-288,0,1
320,400,192,112,0,1,0,0,0,0,0,1,-272,0,1
320,384,192,128,0,1,0,0,0,0,0,1,-256,0,1
320,368,192,144,0,1,0,0,0,0,0,1,-240,0,1
320,352,192,160,0,1,0,0,0,0,0,1,-224,0,1
320,336,192,176,0,1,0,0,0,0,0,1,-208,0,1
320,320,192,192,0,1,0,0,0,0,0,1,-192,0,1
320,304,192,208,0,1,0,0,0,0,0,1,-176,0,1
320,288,192,224,0,1,0,0,0,0,0,1,-160,0,1
320,272,192,240,0,1,0,0,0,0,0,1,-144,0,1
320,256,192,256,0,1,0,0,0,0,0,1,-128,0,1
320,240,192,272,0,1,0,0,0,0,0,1,-112,0,1
320,224,192,288,0,1,0,0,0,0,0,1,-96,0,1
320,208,192,304,0,1,0,0,0,0,0,1,-80,0,1
320,192,192,320,0,1,0,0,0,0,0,1,-64,0,1
320,176,192,336,0,1,0,0,0,0,0,1,-48,0,1
320,160,192,352,0,1,0,0,0,0,0,1,-32,0,1
320,144,192,368,0,1,0,0,0,0,0,1,-16,0,1
192,256,320,256,0,0,1,0,1,0,0,0,0,192,2
208,256,304,256,0,0,1,0,1,0,0,0,0,176,2
224,256,288,256,0,0,1,0,1,0,0,0,0,160,2
240,256,272,256,0,0,1,0,1,0,0,0,0,144,2
256,256,256,256,0,0,1,0,1,0,0,0,0,128,2
272,256,240,256,0,0,1,0,1,0,0,0,0,112,2
288,256,224,256,0,0,1,0,1,0,0,0,0,96,2
304,256,208,256,0,0,1,0,1,0,0,0,0,80,2
320,256,192,256,0,0,1,0,1,0,0,0,0,64,2
336,256,176,256,0,0,1,0,1,0,0,0,0,48,2
352,256,160,256,0,0,1,0,1,0,0,0,0,32,2
368,256,144,256,0,0,1,0,1,0,0,0,0,16,2
176,464,336,48,1,0,0,0,0,0,1,0,0,-112,0
160,464,352,48,1,0,0,0,0,0,1,0,0,-96,0
144,464,368,48,1,0,0,0,0,0,1,0,0,-80,0
128,464,384,48,1,0,0,0,0,0,1,0,0,-64,0
112,464,400,48,1,0,0,0,0,0,1,0,0,-48,0
96,464,416,48,1,0,0,0,0,0,1,0,0,-32,0
80,464,432,48,1,0,0,0,0,0,1,0,0,-16,0
80,448,432,64,0,1,0,0,1,0,0,0,-384,0,1
80,432,432,80,0,1,0,0,0,0,0,1,-368,0,1
80,416,432,96,0,1,0,0,0,0,0,1,-352,0,1
80,400,432,112,0,1,0,0,0,0,0,1,-336,0,1
80,384,432,128,0,1,0,0,0,0,0,1,-320,0,1
80,368,432,144,0,1,0,0,0,0,0,1,-304,0,1
80,352,432,160,0,1,0,0,0,0,0,1,-288,0,1
80,336,432,176,0,1,0,0,0,0,0,1,-272,0,1
80,320,432,192,0,1,0,0,0,0,0,1,-256,0,1
80,304,432,208,0,1,0,0,0,0,0,1,-240,0,1
80,288,432,224,0,1,0,0,0,0,0,1,-224,0,1
80,272,432,240,0,1,0,0,0,0,0,1,-208,0,1
80,256,432,256,0,1,0,0,0,0,0,1,-192,0,1
80,240,432,272,0,1,0,0,0,0,0,1,-176,0,1
80,224,432,288,0,1,0,0,0,0,0,1,-160,0,1
80,208,432,304,0,1,0,0,0,0,0,1,-144,0,1
80,192,432,320,0,1,0,0,0,0,0,1,-128,0,1
80,176,432,336,0,1,0,0,0,0,0,1,-112,0,1
80,160,432,352,0,1,0,0,0,0,0,1,-96,0,1
80,144,432,368,0,1,0,0,0,0,0,1,-80,0,1
80,128,432,384,0,1,0,0,0,0,0,1,-64,0,1
80,112,432,400,0,1,0,0,0,0,0,1,-48,0,1
80,96,432,416,0,1,0,0,0,0,0,1,-32,0,1
80,80,432,432,0,1,0,0,0,0,0,1,-16,0,1
304,288,208,224,0,0,0,1,1,0,0,0,32,0,3
304,304,208,208,0,0,0,1,0,1,0,0,16,0,3
416,208,96,304,0,0,1,0,1,0,0,0,0,64,2
432,208,80,304,0,0,1,0,1,0,0,0,0,48,2
448,208,64,304,0,0,1,0,1,0,0,0,0,32,2
464,208,48,304,0,0,1,0,1,0,0,0,0,16,2
400,288,112,224,1,0,0,0,0,0,1,0,0,-16,0
368,272,144,240,0,1,0,0,0,0,1,0,-176,0,1
368,256,144,256,0,1,0,0,0,0,0,1,-160,0,1
368,240,144,272,0,1,0,0,0,0,0,1,-144,0,1
368,224,144,288,0,1,0,0,0,0,0,1,-128,0,1
368,208,144,304,0,1,0,0,0,0,0,1,-112,0,1
368,192,144,320,0,1,0,0,0,0,0,1,-96,0,1
368,176,144,336,0,1,0,0,0,0,0,1,-80,0,1
368,160,144,352,0,1,0,0,0,0,0,1,-64,0,1
368,144,144,368,0,1,0,0,0,0,0,1,-48,0,1
368,128,144,384,0,1,0,0,0,0,0,1,-32,0,1
368,112,144,400,0,1,0,0,0,0,0,1,-16,0,1
112,352,400,160,0,0,0,1,0,0,1,0,16,0,3
400,80,112,432,0,1,0,0,1,0,0,0,-48,0,1
400,64,112,448,0,1,0,0,0,0,0,1,-32,0,1
400,48,112,464,0,1,0,0,0,0,0,1,-16,0,1
320,112,192,400,0,0,0,1,0,0,1,0,80,0,3
320,128,192,384,0,0,0,1,0,1,0,0,64,0,3
320,144,192,368,0,0,0,1,0,1,0,0,48,0,3
320,160,192,352,0,0,0,1,0,1,0,0,32,0,3
320,176,192,336,0,0,0,1,0,1,0,0,16,0,3
496,368,16,144,0,0,0,1,1,0,0,0,112,0,3
496,384,16,128,0,0,0,1,0,1,0,0,96,0,3
496,400,16,112,0,0,0,1,0,1,0,0,80,0,3
496,416,16,96,0,0,0,1,0,1,0,0,64,0,3
496,432,16,80,0,0,0,1,0,1,0,0,48,0,3
496,448,16,64,0,0,0,1,0,1,0,0,32,0,3
496,464,16,48,0,0,0,1,0,1,0,0,16,0,3
352,336,160,176,0,1,0,0,0,0,1,0,-96,0,1
352,320,160,192,0,1,0,0,0,0,0,1,-80,0,1
352,304,160,208,0,1,0,0,0,0,0,1,-64,0,1
352,288,160,224,0,1,0,0,0,0,0,1,-48,0,1
352,272,160,240,0,1,0,0,0,0,0,1,-32,0,1
352,256,160,256,0,1,0,0,0,0,0,1,-16,0,1
416,304,96,208,0,0,0,1,1,0,0,0,144,0,3
416,320,96,192,0,0,0,1,0,1,0,0,128,0,3
416,336,96,176,0,0,0,1,0,1,0,0,112,0,3
416,352,96,160,0,0,0,1,0,1,0,0,96,0,3
416,368,96,144,0,0,0,1,0,1,0,0,80,0,3
416,384,96,128,0,0,0,1,0,1,0,0,64,0,3
